Matični broj,Naziv preduzeća,Sedište,Adresa,Opština,Naziv opštine,Delatnost (KD 2010),Naziv delatnosti,Veličina preduzeća,Naziv osnivača,Napomena,Procenat udela osnivača,Ukupni prihodi (AOP 201+215+217),Ukupni rashodi (AOP 207+216+218),Svega (AOP 207),Nabavna vrednost prodate robe (AOP 208),Troškovi materijala (AOP 209),"Troškovi zarada, naknada zarada i ostali lični rashodi (AOP 210)",Troškovi amortizacije i rezervisanja (AOP 211),Ostali poslovni rashodi (AOP 212),Finansijski rashodi (AOP 216),Ostali rashodi (AOP 218),Neto dobitak (AOP 229),Neto gubitak (AOP 230),Broj zaposlenih (AOP 605)
7100124,JKSP ALEKSANDROVAC ALEKSANDROVAC,Aleksandrovac,10 Avgusta 46,70017,Aleksandrovac,3600,"Skupljanje, prečišćavanje i distribucija vode               ",srednje,SKUPŠTINA OPŠTINE ALEKSANDROVAC,,100,111666,111284,106944,1449,26786,56916,10388,11405,2646,1694,382,0,140
17287419,JP INFORMATIVNI CENTAR OPŠTINE ALEKSANDROVAC - U LIKVIDACIJI,Aleksandrovac,10. Avgust bb,70017,Aleksandrovac,6020,Proizvodnja i emitovanje televizijskog programa             ,malo,SKUPŠTINA OPŠTINE ALEKSANDROVAC,,100,0,7,7,0,0,0,0,7,0,0,0,7,0
20488808,"JP POSLOVNI CENTAR ALEKSANDROVAC-ŽUPA, ALEKSANDROVAC",Aleksandrovac,10. avgusta bb,70017,Aleksandrovac,5221,Uslužne delatnosti u kopnenom saobraćaju                    ,malo,SKUPŠTINA OPŠTINE ALEKSANDROVAC,,100,0,0,0,0,0,0,0,0,0,0,0,0,0
7187564,REČ RADNIKA,Aleksinac,Dušana Trivunca 5-11,70025,Aleksinac,6020,Proizvodnja i emitovanje televizijskog programa             ,malo,SKUPŠTINA OPŠTINE ALEKSINAC,,0,15275,15128,15117,0,638,8482,617,5380,0,11,132,0,26
7993447,JP ZA PUTEVE I STAMBENO KOMUNALNU DELATNOST ALEKSINAC,Aleksinac,7 juli 12,70025,Aleksinac,4211,Izgradnja puteva i autoputeva                               ,malo,SKUPŠTINA OPŠTINE ALEKSINAC,,100,35654,34542,33279,0,13773,17343,562,1601,23,1240,1147,0,43
20274301,JKP VODOVOD I KANALIZACIJA ALEKSINAC,Aleksinac,Petra Zeca 35,70025,Aleksinac,3600,"Skupljanje, prečišćavanje i distribucija vode               ",srednje,SKUPŠTINA OPŠTINE ALEKSINAC,,100,114578,127839,110502,0,28114,46692,17003,18693,648,16689,0,13324,99
20274328,JKP KOMUNALNE USLUGE ALEKSINAC,Aleksinac,Knjaz Miloša 29,70025,Aleksinac,3811,Skupljanje otpada koji nije opasan,malo,SKUPŠTINA OPŠTINE ALEKSINAC,,100,69199,68549,62973,0,8002,44113,4884,5974,94,5482,520,0,93
7113323,BUKULJA,Aranđelovac,Branislava Nušića 1,70033,Aranđelovac,3600,"Skupljanje, prečišćavanje i distribucija vode               ",srednje,Државни капитал,Lokalni nivo,100,305129,342598,295119,0,52281,193509,29315,20014,8139,39340,0,37469,363
7122802,JP ZA INFORMISANJE ŠUMADIJA ARANĐELOVAC,Aranđelovac,Kneza Mihajla 108,70033,Aranđelovac,6020,Proizvodnja i emitovanje televizijskog programa             ,malo,SKUPŠTINA OPŠTINE ARANĐELOVAC,,0,15949,18939,18769,0,866,15654,968,1281,8,162,0,2990,30
17216856,JP GAS ARANĐELOVAC,Aranđelovac,Kneza Mihaila 108,70033,Aranđelovac,3522,Distribucija gasovitih goriva gasovodom                     ,malo,OPŠTINA ARANĐELOVAC,,100,10497,10453,9975,0,606,6778,637,1954,294,184,44,0,6
20311380,JKP ZELENILO ARANĐELOVAC ARANĐELOVAC,Aranđelovac,VENAC SLOBODE 10,70033,Aranđelovac,8130,Usluge uredjenja i održavanja okoline                        ,malo,SKUPŠTINA OPŠTINE ARANĐELOVAC,,100,32651,40789,40605,0,6526,25973,1312,6794,161,23,0,8138,50
7350538,RZAV,Arilje,Čačanska bb,70041,Arilje,3600,"Skupljanje, prečišćavanje i distribucija vode               ",srednje,SKUPŠTINA GRADA ČAČKA,,0,128428,215725,215489,0,31984,61771,114092,7642,0,236,0,87297,74
7350538,,,,70041,,,,,SKUPŠTINA OPŠTINE POŽEGA,,0,,,,,,,,,,,,,
7350538,,,,70041,,,,,Скупштина општине Горњи Милановац,,0,,,,,,,,,,,,,
7350538,,,,70041,,,,,SKUPŠTINA OPŠTINE LUČANI,,0,,,,,,,,,,,,,
7350538,,,,70041,,,,,SKUPŠTINA OPŠTINE ARILJE,,0,,,,,,,,,,,,,
17268104,ZELEN,Arilje,Vojvode Mišića 38,70041,Arilje,3600,"Skupljanje, prečišćavanje i distribucija vode               ",malo,SKUPŠTINA OPŠTINE ARILJE,,100,58555,58492,57908,0,20555,24345,2384,10624,302,282,63,0,53
7328389,KOMUNALAC,Babušnica,7. juli 20,70050,Babušnica,3600,"Skupljanje, prečišćavanje i distribucija vode               ",malo,SKUPŠTINA OPŠTINE BABUŠNICA,,100,23274,28424,27861,0,8761,15930,903,2267,537,26,0,5150,41
20685107,JP BB TERM BAJINA BAŠTA,Bajina Bašta,KNEZA MILANA OBRENOVIĆA 34/2,70068,Bajina Bašta,3530,Snabdevanje parom i klimatizacija                           ,malo,SKUPŠTINA OPŠTINE BAJINA BAŠTA,,100,,,,,,,,,,,,,
7352930,JKP 7.JULI BATOČINA,Batočina,Kralja Petra I 21,70076,Batočina,3530,Snabdevanje parom i klimatizacija                           ,malo,Државни капитал,Lokalni nivo,0,37240,45486,43312,127,17940,20358,736,4151,2045,129,0,8246,44
7306890,KOMNIS,Bela Palanka,Srpskih vladara 51,70084,Bela Palanka,3600,"Skupljanje, prečišćavanje i distribucija vode               ",malo,SKUPŠTINA OPŠTINE BELA PALANKA,,100,37986,48055,45888,0,6016,32598,1623,5651,370,1797,0,10069,84
