Matični broj,Naziv preduzeća,Sedište,Adresa,Opština,Naziv opštine,Delatnost (KD 2010),Naziv delatnosti,Veličina preduzeća,Naziv osnivača,Napomena,Procenat udela osnivača,Ukupni prihodi (AOP 201+215+217),Ukupni rashodi (AOP 207+216+218),Svega (AOP 207),Nabavna vrednost prodate robe (AOP 208),Troškovi materijala (AOP 209),"Troškovi zarada, naknada zarada i ostali lični rashodi (AOP 210)",Troškovi amortizacije i rezervisanja (AOP 211),Ostali poslovni rashodi (AOP 212),Finansijski rashodi (AOP 216),Ostali rashodi (AOP 218),Neto dobitak (AOP 229),Neto gubitak (AOP 230),Broj zaposlenih (AOP 605)
7100124,JKSP ALEKSANDROVAC ALEKSANDROVAC,Aleksandrovac,10 Avgusta 46,70017,Aleksandrovac,3600,"Skupljanje, prečišćavanje i distribucija vode               ",srednje,SKUPŠTINA OPŠTINE ALEKSANDROVAC,,100,116458,115859,111762,1268,25128,66180,9902,9284,2859,1238,492,0,135
17287419,JP INFORMATIVNI CENTAR OPŠTINE ALEKSANDROVAC - U LIKVIDACIJI,Aleksandrovac,10. Avgust bb,70017,Aleksandrovac,6020,Proizvodnja i emitovanje televizijskog programa             ,malo,SKUPŠTINA OPŠTINE ALEKSANDROVAC,,100,0,0,0,0,0,0,0,0,0,0,0,0,0
20488808,"JP POSLOVNI CENTAR ALEKSANDROVAC-ŽUPA, ALEKSANDROVAC",Aleksandrovac,10. avgusta bb,70017,Aleksandrovac,5221,Uslužne delatnosti u kopnenom saobraćaju                    ,malo,SKUPŠTINA OPŠTINE ALEKSANDROVAC,,100,10524,10447,10439,0,2970,5717,284,1468,0,8,73,0,13
7187564,REČ RADNIKA,Aleksinac,Dušana Trivunca 5-11,70025,Aleksinac,6020,Proizvodnja i emitovanje televizijskog programa             ,malo,SKUPŠTINA OPŠTINE ALEKSINAC,,0,16103,16046,16046,0,349,11532,627,3538,0,0,51,0,26
7993447,JP ZA PUTEVE I STAMBENO KOMUNALNU DELATNOST ALEKSINAC,Aleksinac,7 juli 12,70025,Aleksinac,4211,Izgradnja puteva i autoputeva                               ,malo,SKUPŠTINA OPŠTINE ALEKSINAC,,100,52495,51205,50796,0,21709,22488,1563,5036,123,286,1109,0,46
20274301,JKP VODOVOD I KANALIZACIJA ALEKSINAC,Aleksinac,Petra Zeca 35,70025,Aleksinac,3600,"Skupljanje, prečišćavanje i distribucija vode               ",srednje,SKUPŠTINA OPŠTINE ALEKSINAC,,100,119421,130042,119175,0,33425,55125,14546,16079,1414,9453,0,10632,92
20274328,JKP KOMUNALNE USLUGE ALEKSINAC,Aleksinac,Knjaz Miloša 29,70025,Aleksinac,3811,Skupljanje otpada koji nije opasan,malo,SKUPŠTINA OPŠTINE ALEKSINAC,,100,73306,78231,70769,0,7071,52107,4470,7121,297,7165,0,4972,92
7113323,BUKULJA,Aranđelovac,Branislava Nušića 1,70033,Aranđelovac,3600,"Skupljanje, prečišćavanje i distribucija vode               ",srednje,Државни капитал,Lokalni nivo,100,334823,338685,294716,0,58279,189225,26499,20713,7404,36565,0,3862,334
7122802,JP ZA INFORMISANJE ŠUMADIJA ARANĐELOVAC,Aranđelovac,Kneza Mihajla 108,70033,Aranđelovac,6020,Proizvodnja i emitovanje televizijskog programa             ,malo,SKUPŠTINA OPŠTINE ARANĐELOVAC,,0,16051,16281,16214,0,672,14187,583,772,12,55,0,230,23
17216856,JP GAS ARANĐELOVAC,Aranđelovac,Kneza Mihaila 108,70033,Aranđelovac,3522,Distribucija gasovitih goriva gasovodom                     ,malo,OPŠTINA ARANĐELOVAC,,100,7672,9175,8514,0,489,6140,637,1248,563,98,0,1503,7
