Matični broj,Naziv preduzeća,Sedište,Adresa,Opština,Naziv opštine,Delatnost (KD 2010),Naziv delatnosti,Veličina preduzeća,Naziv osnivača,Napomena,Procenat udela osnivača,Ukupni prihodi (AOP 201+215+217),Ukupni rashodi (AOP 207+216+218),Svega (AOP 207),Nabavna vrednost prodate robe (AOP 208),Troškovi materijala (AOP 209),"Troškovi zarada, naknada zarada i ostali lični rashodi (AOP 210)",Troškovi amortizacije i rezervisanja (AOP 211),Ostali poslovni rashodi (AOP 212),Finansijski rashodi (AOP 216),Ostali rashodi (AOP 218),Neto dobitak (AOP 229),Neto gubitak (AOP 230),Broj zaposlenih (AOP 605)
7100124,JKSP ALEKSANDROVAC ALEKSANDROVAC,Aleksandrovac,10 Avgusta 46,70017,Aleksandrovac,3600,"Skupljanje, prečišćavanje i distribucija vode               ",srednje,SKUPŠTINA OPŠTINE ALEKSANDROVAC,,100,70800,70432,65299,2721,13392,34378,8340,6468,2105,3028,368,0,114
17287419,JP INFORMATIVNI CENTAR OPŠTINE ALEKSANDROVAC - U LIKVIDACIJI,Aleksandrovac,10. Avgust bb,70017,Aleksandrovac,6020,Proizvodnja i emitovanje televizijskog programa             ,malo,SKUPŠTINA OPŠTINE ALEKSANDROVAC,,100,,,,,,,,,,,,,
20488808,"JP POSLOVNI CENTAR ALEKSANDROVAC-ŽUPA, ALEKSANDROVAC",Aleksandrovac,10. avgusta bb,70017,Aleksandrovac,5221,Uslužne delatnosti u kopnenom saobraćaju                    ,malo,SKUPŠTINA OPŠTINE ALEKSANDROVAC,,100,,,,,,,,,,,,,
7187564,REČ RADNIKA,Aleksinac,Dušana Trivunca 5-11,70025,Aleksinac,6020,Proizvodnja i emitovanje televizijskog programa             ,malo,SKUPŠTINA OPŠTINE ALEKSINAC,,0,13190,13061,12322,0,465,7138,542,4177,3,736,116,0,24
7993447,JP ZA PUTEVE I STAMBENO KOMUNALNU DELATNOST ALEKSINAC,Aleksinac,7 juli 12,70025,Aleksinac,4211,Izgradnja puteva i autoputeva                               ,malo,SKUPŠTINA OPŠTINE ALEKSINAC,,100,35641,37306,37234,0,16223,17241,612,3158,7,65,0,1673,50
20274301,JKP VODOVOD I KANALIZACIJA ALEKSINAC,Aleksinac,Petra Zeca 35,70025,Aleksinac,3600,"Skupljanje, prečišćavanje i distribucija vode               ",srednje,SKUPŠTINA OPŠTINE ALEKSINAC,,100,,,,,,,,,,,,,
20274328,JKP KOMUNALNE USLUGE ALEKSINAC,Aleksinac,Knjaz Miloša 29,70025,Aleksinac,3811,Skupljanje otpada koji nije opasan,malo,SKUPŠTINA OPŠTINE ALEKSINAC,,100,,,,,,,,,,,,,
7113323,BUKULJA,Aranđelovac,Branislava Nušića 1,70033,Aranđelovac,3600,"Skupljanje, prečišćavanje i distribucija vode               ",srednje,Државни капитал,Lokalni nivo,100,254748,278514,235744,0,46416,138633,32240,18455,3960,38810,0,23766,334
7122802,JP ZA INFORMISANJE ŠUMADIJA ARANĐELOVAC,Aranđelovac,Kneza Mihajla 108,70033,Aranđelovac,6020,Proizvodnja i emitovanje televizijskog programa             ,malo,SKUPŠTINA OPŠTINE ARANĐELOVAC,,0,21690,21690,21487,0,1554,16615,1159,2159,8,195,0,0,37
17216856,JP GAS ARANĐELOVAC,Aranđelovac,Kneza Mihaila 108,70033,Aranđelovac,3522,Distribucija gasovitih goriva gasovodom                     ,malo,OPŠTINA ARANĐELOVAC,,100,9364,9351,9202,0,754,6558,302,1588,62,87,12,0,6
