Matični broj,Naziv preduzeća,Sedište,Adresa,Opština,Naziv opštine,Delatnost (KD 2010),Naziv delatnosti,Veličina preduzeća,Naziv osnivača,Napomena,Procenat udela osnivača,Ukupni prihodi (AOP 201+215+217),Ukupni rashodi (AOP 207+216+218),Svega (AOP 207),Nabavna vrednost prodate robe (AOP 208),Troškovi materijala (AOP 209),"Troškovi zarada, naknada zarada i ostali lični rashodi (AOP 210)",Troškovi amortizacije i rezervisanja (AOP 211),Ostali poslovni rashodi (AOP 212),Finansijski rashodi (AOP 216),Ostali rashodi (AOP 218),Neto dobitak (AOP 229),Neto gubitak (AOP 230),Broj zaposlenih (AOP 605)
7100124,JKSP ALEKSANDROVAC ALEKSANDROVAC,Aleksandrovac,10 Avgusta 46,70017,Aleksandrovac,3600,"Skupljanje, prečišćavanje i distribucija vode               ",srednje,SKUPŠTINA OPŠTINE ALEKSANDROVAC,,100,87871,87652,83611,1914,18781,43890,9223,9803,2325,1716,219,0,124
17287419,JP INFORMATIVNI CENTAR OPŠTINE ALEKSANDROVAC - U LIKVIDACIJI,Aleksandrovac,10. Avgust bb,70017,Aleksandrovac,6020,Proizvodnja i emitovanje televizijskog programa             ,malo,SKUPŠTINA OPŠTINE ALEKSANDROVAC,,100,1180,1168,1168,0,21,644,0,503,0,0,12,0,9
20488808,"JP POSLOVNI CENTAR ALEKSANDROVAC-ŽUPA, ALEKSANDROVAC",Aleksandrovac,10. avgusta bb,70017,Aleksandrovac,5221,Uslužne delatnosti u kopnenom saobraćaju                    ,malo,SKUPŠTINA OPŠTINE ALEKSANDROVAC,,100,,,,,,,,,,,,,
7187564,REČ RADNIKA,Aleksinac,Dušana Trivunca 5-11,70025,Aleksinac,6020,Proizvodnja i emitovanje televizijskog programa             ,malo,SKUPŠTINA OPŠTINE ALEKSINAC,,0,13859,13726,13714,0,571,8144,535,4464,4,8,120,0,26
7993447,JP ZA PUTEVE I STAMBENO KOMUNALNU DELATNOST ALEKSINAC,Aleksinac,7 juli 12,70025,Aleksinac,4211,Izgradnja puteva i autoputeva                               ,malo,SKUPŠTINA OPŠTINE ALEKSINAC,,100,36503,40189,35659,0,11668,18212,552,5227,42,4488,0,2561,49
20274301,JKP VODOVOD I KANALIZACIJA ALEKSINAC,Aleksinac,Petra Zeca 35,70025,Aleksinac,3600,"Skupljanje, prečišćavanje i distribucija vode               ",srednje,SKUPŠTINA OPŠTINE ALEKSINAC,,100,79147,80630,76673,0,20739,30054,11536,14344,232,3725,0,1483,101
20274328,JKP KOMUNALNE USLUGE ALEKSINAC,Aleksinac,Knjaz Miloša 29,70025,Aleksinac,3811,Skupljanje otpada koji nije opasan,malo,SKUPŠTINA OPŠTINE ALEKSINAC,,100,50213,49007,37269,0,5082,24810,4332,3045,77,11661,1109,0,96
7113323,BUKULJA,Aranđelovac,Branislava Nušića 1,70033,Aranđelovac,3600,"Skupljanje, prečišćavanje i distribucija vode               ",srednje,Државни капитал,Lokalni nivo,100,289756,333101,282512,0,63657,167779,29030,22046,2593,47996,0,43345,369
7122802,JP ZA INFORMISANJE ŠUMADIJA ARANĐELOVAC,Aranđelovac,Kneza Mihajla 108,70033,Aranđelovac,6020,Proizvodnja i emitovanje televizijskog programa             ,malo,SKUPŠTINA OPŠTINE ARANĐELOVAC,,0,18863,22894,22781,0,1349,18944,1080,1408,2,111,0,4031,39
17216856,JP GAS ARANĐELOVAC,Aranđelovac,Kneza Mihaila 108,70033,Aranđelovac,3522,Distribucija gasovitih goriva gasovodom                     ,malo,OPŠTINA ARANĐELOVAC,,100,9862,9841,9841,0,848,6386,603,2004,0,0,21,0,6
20311380,JKP ZELENILO ARANĐELOVAC ARANĐELOVAC,Aranđelovac,VENAC SLOBODE 10,70033,Aranđelovac,8130,Usluge uredjenja i održavanja okoline                        ,malo,SKUPŠTINA OPŠTINE ARANĐELOVAC,,100,13018,14006,14006,0,2349,6778,166,4713,0,0,0,988,36
7350538,RZAV,Arilje,Čačanska bb,70041,Arilje,3600,"Skupljanje, prečišćavanje i distribucija vode               ",srednje,SKUPŠTINA GRADA ČAČKA,,0,120457,233814,229871,0,28336,54950,139692,6893,27,3916,0,113323,75
7350538,,,,,,,,,SKUPŠTINA OPŠTINE POŽEGA,,0,,,,,,,,,,,,,
7350538,,,,,,,,,Скупштина општине Горњи Милановац,,0,,,,,,,,,,,,,
7350538,,,,,,,,,SKUPŠTINA OPŠTINE LUČANI,,0,,,,,,,,,,,,,
7350538,,,,,,,,,SKUPŠTINA OPŠTINE ARILJE,,0,,,,,,,,,,,,,
17268104,ZELEN,Arilje,Vojvode Mišića 38,70041,Arilje,3600,"Skupljanje, prečišćavanje i distribucija vode               ",malo,SKUPŠTINA OPŠTINE ARILJE,,100,51669,52333,51174,0,18984,20989,2337,8864,963,196,0,664,49
